gia,khoang_gia_min,khoang_gia_max,thuong_hieu,dong_xe,so_km_da_di,loai_xe,dung_tich_xe,xuat_xu,tuoi_xe,phan_khuc,gia_predict,resid,resid_z,vi_pham_minmax,ngoai_khoang_tin_cay,iso_score,score,is_anomaly
0.117,72.21,84.76,Honda,CBR,30000,Tay côn/Moto,Trên 175 cc,Nhật Bản,6,trung_cap,10.846899899999984,-10.729899899999984,-1.9216516611782277,1,1,0,116.86606644712911,1
46.0,41.61,48.85,Yamaha,Exciter,8888,Xe số,100 - 175 cc,Việt Nam,15,pho_thong,36.446999999999996,9.553000000000004,2.4160485269983765,0,1,0,116.64194107993507,1
50.0,19.38,22.75,Honda,Lead,0,Tay ga,100 - 175 cc,Việt Nam,8,trung_cap,39.24066666666667,10.75933333333333,1.9132672649365359,1,1,0,116.53069059746144,1
63.0,40.73,47.82,Honda,SH,50000,Tay ga,100 - 175 cc,Nước khác,17,trung_cap,55.092666666666645,7.907333333333355,1.4043059326022653,1,1,1,116.17223730409061,1
90.0,189.77,222.77,BMW,Dòng khác,13000,Tay côn/Moto,Trên 175 cc,Đức,5,cao_cap,190.873,-100.87299999999999,-1.39865271783548,1,1,1,115.94610871341919,1
3.0,52.61,61.76,Honda,Dòng khác,9300,Tay côn/Moto,100 - 175 cc,Việt Nam,2,trung_cap,13.58799999,-10.58799999,-1.8963285310058207,1,1,0,115.85314124023283,1
52.0,60.06,70.5,Piaggio,Sprint,27000,Tay ga,100 - 175 cc,Việt Nam,3,pho_thong,42.202456780000006,9.797543219999994,1.894882725204666,1,1,0,115.79530900818665,1
43.0,44.41,52.13,Honda,SH,112655,Tay ga,100 - 175 cc,Việt Nam,9,trung_cap,32.346000000000004,10.653999999999996,1.8944697215730912,1,0,1,115.77878886292365,1
18.0,27.17,31.89,Honda,Lead,25000,Tay ga,100 - 175 cc,Việt Nam,5,trung_cap,31.365,-13.364999999999998,-2.391905538362726,1,0,0,115.67622153450905,1
45.0,26.21,30.77,Yamaha,PG-1,5678,Xe số,100 - 175 cc,Đang cập nhật,1,pho_thong,37.520885,7.479115,1.8804359534681385,1,1,0,115.21743813872554,1
11.5,41.61,48.85,Yamaha,Exciter,9999,Xe số,100 - 175 cc,Việt Nam,15,pho_thong,20.486,-8.986,-2.3719322437179673,1,0,0,114.8772897487187,1
78.0,62.76,73.68,Honda,SH,38000,Tay ga,100 - 175 cc,Đang cập nhật,6,trung_cap,70.305,7.694999999999993,1.3664134163917725,1,1,1,114.6565366556709,1
73.0,95.08,111.62,Honda,SH,23000,Tay ga,100 - 175 cc,Nước khác,15,trung_cap,65.32337034,7.676629660000003,1.3631350879479336,1,1,1,114.52540351791734,1
1.0,75.13,88.2,Honda,CB,9000,Tay côn/Moto,Trên 175 cc,Nhật Bản,9,trung_cap,11.391177500000001,-10.391177500000001,-1.8612040440690223,1,1,0,114.44816176276089,1
14.0,11.66,13.69,Yamaha,FZ,47000,Tay côn/Moto,100 - 175 cc,Ấn Độ,12,pho_thong,22.909000000000006,-8.909000000000006,-2.352045814064527,1,0,0,114.08183256258108,1
68.0,75.95,89.16,Honda,SH,8000,Tay ga,100 - 175 cc,Việt Nam,1,trung_cap,75.53666666666668,-7.536666666666676,-1.3517946342177067,1,1,1,114.07178536870826,1
48.0,49.74,58.4,Honda,CBR,1600,Xe số,100 - 175 cc,Việt Nam,4,trung_cap,37.598,10.402000000000001,1.8494983836529528,1,1,0,113.97993534611813,1
35.0,55.9,65.62,Honda,SH,100000,Tay ga,100 - 175 cc,Việt Nam,8,trung_cap,45.31166666666667,-10.311666666666667,-1.8470147244097157,1,0,1,113.88058897638862,1
30.5,11.75,13.8,Honda,Wave,49000,Xe số,50 - 100 cc,Thái Lan,27,trung_cap,20.163444429999988,10.336555570000012,1.8378193218413639,1,0,1,113.51277287365455,1
55.0,11.87,13.94,Honda,Dream,250,Xe số,50 - 100 cc,Thái Lan,24,trung_cap,47.48866666666667,7.511333333333333,1.3336366872991854,1,1,1,113.34546749196741,1
7.0,4.6,5.4,Yamaha,Mio,25000,Tay ga,100 - 175 cc,Việt Nam,7,pho_thong,15.831999999999995,-8.831999999999995,-2.332159384411082,1,0,0,113.28637537644329,1
5.5,9.56,11.22,SYM,Angela,123456,Xe số,50 - 100 cc,Thái Lan,6,pho_thong,10.465356769999998,-4.965356769999998,-2.3305545969059054,1,0,0,113.22218387623622,1
45.0,24.18,28.39,Piaggio,Liberty,13000,Tay ga,100 - 175 cc,Đang cập nhật,3,pho_thong,35.540908,9.459091999999998,1.8265661219574414,1,1,0,113.06264487829765,1
75.0,58.13,68.25,Honda,SH,25000,Tay ga,100 - 175 cc,Việt Nam,7,trung_cap,67.54300000000002,7.456999999999979,1.3239404861338606,1,1,1,112.95761944535442,1
66.0,55.2,64.8,Honda,SH,70000,Tay ga,100 - 175 cc,Đang cập nhật,8,trung_cap,58.566,7.4339999999999975,1.3198359592602003,1,1,1,112.79343837040801,1
0.004,6.33,7.43,Yamaha,Sirius,100000,Xe số,100 - 175 cc,Nhật Bản,17,pho_thong,6.842000000000001,-6.838000000000002,-1.8171783359829923,1,1,0,112.68713343931968,1
55.0,31.51,36.99,Kawasaki,Khác,952,Tay côn/Moto,Trên 175 cc,Nước khác,2,trung_cap,79.79204329999995,-24.792043299999946,-1.3138908782401968,1,1,1,112.55563512960786,1
9.9,14.53,17.05,SYM,Khác,20000,Tay ga,100 - 175 cc,Đài Loan,13,pho_thong,5.812916666666665,4.087083333333335,2.3110417226558306,1,0,0,112.44166890623323,1
62.0,39.06,45.86,Honda,CBR,1433,Tay côn/Moto,100 - 175 cc,Đang cập nhật,3,trung_cap,51.815,10.185000000000002,1.8107730648883886,1,1,0,112.43092259553555,1
29.0,8.99,10.55,Hãng khác,Dòng khác,2216,Tay côn/Moto,100 - 175 cc,Việt Nam,6,pho_thong,19.152015859999995,9.847984140000005,2.3047156087830465,1,0,0,112.18862435132186,1
0.06,27.65,32.46,Honda,SH Mode,12345,Tay ga,100 - 175 cc,Việt Nam,10,trung_cap,10.117799999999985,-10.057799999999984,-1.8017102654679429,1,1,0,112.0684106187177,1
